LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
JPN,HRWKD,TOT,HR_WKD,A,1970,2243,
JPN,HRWKD,TOT,HR_WKD,A,1971,2239,
JPN,HRWKD,TOT,HR_WKD,A,1972,2228,
JPN,HRWKD,TOT,HR_WKD,A,1973,2201,
JPN,HRWKD,TOT,HR_WKD,A,1974,2137,
JPN,HRWKD,TOT,HR_WKD,A,1975,2112,
JPN,HRWKD,TOT,HR_WKD,A,1976,2128,
JPN,HRWKD,TOT,HR_WKD,A,1977,2129,
JPN,HRWKD,TOT,HR_WKD,A,1978,2123,
JPN,HRWKD,TOT,HR_WKD,A,1979,2126,
JPN,HRWKD,TOT,HR_WKD,A,1980,2121,
JPN,HRWKD,TOT,HR_WKD,A,1981,2106,
JPN,HRWKD,TOT,HR_WKD,A,1982,2104,
JPN,HRWKD,TOT,HR_WKD,A,1983,2095,
JPN,HRWKD,TOT,HR_WKD,A,1984,2108,
JPN,HRWKD,TOT,HR_WKD,A,1985,2093,
JPN,HRWKD,TOT,HR_WKD,A,1986,2097,
JPN,HRWKD,TOT,HR_WKD,A,1987,2096,
JPN,HRWKD,TOT,HR_WKD,A,1988,2092,
JPN,HRWKD,TOT,HR_WKD,A,1989,2070,
JPN,HRWKD,TOT,HR_WKD,A,1990,2031,
JPN,HRWKD,TOT,HR_WKD,A,1991,1998,
JPN,HRWKD,TOT,HR_WKD,A,1992,1965,
JPN,HRWKD,TOT,HR_WKD,A,1993,1905,
JPN,HRWKD,TOT,HR_WKD,A,1994,1898,
JPN,HRWKD,TOT,HR_WKD,A,1995,1884,
JPN,HRWKD,TOT,HR_WKD,A,1996,1892,
JPN,HRWKD,TOT,HR_WKD,A,1997,1865,
JPN,HRWKD,TOT,HR_WKD,A,1998,1842,
JPN,HRWKD,TOT,HR_WKD,A,1999,1810,
JPN,HRWKD,TOT,HR_WKD,A,2000,1821,
JPN,HRWKD,TOT,HR_WKD,A,2001,1809,
JPN,HRWKD,TOT,HR_WKD,A,2002,1798,
JPN,HRWKD,TOT,HR_WKD,A,2003,1799,
JPN,HRWKD,TOT,HR_WKD,A,2004,1787,
JPN,HRWKD,TOT,HR_WKD,A,2005,1775,
JPN,HRWKD,TOT,HR_WKD,A,2006,1784,
JPN,HRWKD,TOT,HR_WKD,A,2007,1785,
JPN,HRWKD,TOT,HR_WKD,A,2008,1771,
JPN,HRWKD,TOT,HR_WKD,A,2009,1714,
JPN,HRWKD,TOT,HR_WKD,A,2010,1733,
JPN,HRWKD,TOT,HR_WKD,A,2011,1728,
JPN,HRWKD,TOT,HR_WKD,A,2012,1745,
JPN,HRWKD,TOT,HR_WKD,A,2013,1734,
JPN,HRWKD,TOT,HR_WKD,A,2014,1729,
JPN,HRWKD,TOT,HR_WKD,A,2015,1719,
JPN,HRWKD,TOT,HR_WKD,A,2016,1714,
JPN,HRWKD,TOT,HR_WKD,A,2017,1709,
JPN,HRWKD,TOT,HR_WKD,A,2018,1680,
JPN,HRWKD,TOT,HR_WKD,A,2019,1644,
JPN,HRWKD,TOT,HR_WKD,A,2020,1598,
KOR,HRWKD,TOT,HR_WKD,A,2008,2228,
KOR,HRWKD,TOT,HR_WKD,A,2009,2174,
KOR,HRWKD,TOT,HR_WKD,A,2010,2163,
KOR,HRWKD,TOT,HR_WKD,A,2011,2136,
KOR,HRWKD,TOT,HR_WKD,A,2012,2119,
KOR,HRWKD,TOT,HR_WKD,A,2013,2106,
KOR,HRWKD,TOT,HR_WKD,A,2014,2076,
KOR,HRWKD,TOT,HR_WKD,A,2015,2083,
KOR,HRWKD,TOT,HR_WKD,A,2016,2068,
KOR,HRWKD,TOT,HR_WKD,A,2017,2018,
KOR,HRWKD,TOT,HR_WKD,A,2018,1993,
KOR,HRWKD,TOT,HR_WKD,A,2019,1967,
KOR,HRWKD,TOT,HR_WKD,A,2020,1908,
USA,HRWKD,TOT,HR_WKD,A,1950,1968,
USA,HRWKD,TOT,HR_WKD,A,1951,1987,
USA,HRWKD,TOT,HR_WKD,A,1952,1988,
USA,HRWKD,TOT,HR_WKD,A,1953,1993,
USA,HRWKD,TOT,HR_WKD,A,1954,1984,
USA,HRWKD,TOT,HR_WKD,A,1955,2003,
USA,HRWKD,TOT,HR_WKD,A,1956,2002,
USA,HRWKD,TOT,HR_WKD,A,1957,1973,
USA,HRWKD,TOT,HR_WKD,A,1958,1947,
USA,HRWKD,TOT,HR_WKD,A,1959,1958,
